t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
1.035863219349457864e+01,3.379846293952720182e-01,1.126052133984488217e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.038865721434528666e+01,2.121048853387278166e-01,1.263297848458686500e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.041868223519599645e+01,2.675912385312707586e-01,1.412165972917399544e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.044870725604670447e+01,1.288177652413404206e-01,1.573198060735311182e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.047873227689741427e+01,1.427655855573667087e-01,1.746934734301760009e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.050875729774812228e+01,2.644458984555506653e-01,1.933914483316123353e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.053878231859883208e+01,2.194416498258135520e-02,2.134672459053951407e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.056880733944954009e+01,3.606376642058545939e-02,2.349739266693526632e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.059883236030024989e+01,1.600134098754027456e-01,2.579639757799138608e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.062885738115095791e+01,6.011213567320422037e-03,2.824891825059753364e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.065888240200166770e+01,0.000000000000000000e+00,3.086005201381303992e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.068890742285237572e+01,5.812915996956588560e-02,3.363480265425902727e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.071893244370308551e+01,2.898057621011105311e-01,3.657806855684658798e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.074895746455379353e+01,2.843294324772286386e-01,3.969463095158283494e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
