T_months,phi_rad,phi_over_pi,auc_true,auc_nn
1.873817422860383175e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.794660780377642428e-01,7.270983067023936153e-01
2.104904144512019570e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.809887128428938396e-01,7.272971425882943652e-01
2.364489412645407285e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.615406961981832090e-01,7.329741871813024723e-01
2.656087782946686815e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.916100031066941600e-01,7.453324909412983867e-01
2.983647240283340452e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.893660514516327442e-01,7.477663635399582898e-01
3.351602650938841066e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.617080730730281246e-01,7.263333019676723179e-01
3.764935806792467332e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.842543822309050450e-01,7.391248439184970875e-01
4.229242874389498752e+01,2.052728374217000162e+00,6.534037351632510093e-01,8.017249619878062949e-01,7.864611805138592704e-01
4.750810162102798273e+01,2.052728374217000162e+00,6.534037351632510093e-01,8.071414195500670186e-01,7.742358540869456185e-01
5.336699231206306848e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.842548489818108592e-01,7.346155634168854975e-01
5.994842503189408944e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.674632050925884741e-01,7.357447272083664780e-01
6.734150657750821267e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.566122733831001090e-01,7.163065590077697387e-01
7.564633275546290747e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.760395662875902989e-01,7.402346842224749590e-01
8.497534359086438371e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.994361088956001282e-01,7.616822617479335200e-01
9.545484566618337396e+01,2.052728374217000162e+00,6.534037351632510093e-01,8.007770842481651830e-01,7.708779080448440180e-01
1.072267222010323167e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.107214923482721769e-01,7.892934250106792282e-01
1.204503540258782408e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.344531621066970661e-01,8.022984121507584776e-01
1.353047774579806060e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.546311771681885938e-01,8.342406504192543260e-01
1.519911082952933157e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.500295733373958162e-01,8.358245229432341716e-01
1.707352647470690385e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.337970970334059873e-01,7.896798014105584906e-01
1.917910261672488730e+02,2.052728374217000162e+00,6.534037351632510093e-01,8.162181377161616957e-01,8.012665659231511528e-01
2.154434690031884543e+02,2.052728374217000162e+00,6.534037351632510093e-01,7.981943647856231117e-01,7.586987432825209599e-01
2.420128264794381039e+02,2.052728374217000162e+00,6.534037351632510093e-01,7.705692456707919913e-01,6.779160636244963012e-01
2.718588242732940330e+02,2.052728374217000162e+00,6.534037351632510093e-01,7.490439074444155132e-01,7.127352611265947990e-01
3.053855508833415797e+02,2.052728374217000162e+00,6.534037351632510093e-01,7.132616627982351076e-01,6.887864588467592641e-01
3.430469286314919373e+02,2.052728374217000162e+00,6.534037351632510093e-01,6.916366265783648881e-01,6.650122680808099318e-01
3.853528593710527161e+02,2.052728374217000162e+00,6.534037351632510093e-01,6.647864073174591937e-01,6.176860599801051732e-01
4.328761281083056929e+02,2.052728374217000162e+00,6.534037351632510093e-01,6.536762421548508728e-01,5.907928529607689994e-01
4.862601580065353346e+02,2.052728374217000162e+00,6.534037351632510093e-01,6.318654390744440352e-01,5.881982313501274984e-01
5.462277217684342077e+02,2.052728374217000162e+00,6.534037351632510093e-01,6.183486128909878587e-01,5.766336375055637342e-01
6.135907273413170060e+02,2.052728374217000162e+00,6.534037351632510093e-01,5.961536738150501336e-01,5.078717073524097181e-01
6.892612104349694846e+02,2.052728374217000162e+00,6.534037351632510093e-01,5.830179964213275667e-01,5.573342343492819762e-01
7.742636826811269657e+02,2.052728374217000162e+00,6.534037351632510093e-01,5.561634830520878481e-01,5.167922506654001324e-01
8.697490026177833897e+02,2.052728374217000162e+00,6.534037351632510093e-01,5.553485359704386504e-01,5.001166877264675570e-01
