injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
3.764935806792467332e+01,2.420014265287000033e+00,1.873817422860383175e+01,7.545067649148267108e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,2.512798025970000015e+00,1.873817422860383175e+01,6.447943401341258429e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,2.538681563927999818e+00,1.873817422860383175e+01,6.844725498368459116e-01,9.900497512437811398e-01,2.000000000000000000e+02
3.764935806792467332e+01,2.631502027943000144e+00,1.873817422860383175e+01,5.066289822512193286e-01,9.850746268656715987e-01,2.000000000000000000e+02
3.764935806792467332e+01,2.635677408799999899e+00,1.668100537200059108e+01,6.548322745849414206e-01,8.308457711442785998e-01,2.000000000000000000e+02
3.764935806792467332e+01,2.838983169807999918e+00,1.873817422860383175e+01,6.625811587435089800e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,2.912014714116000214e+00,1.873817422860383175e+01,5.700034337012476193e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,3.020432623406000161e+00,1.873817422860383175e+01,7.345301259073336864e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,0.000000000000000000e+00,2.104904144512019570e+01,6.505344858319890289e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,9.577788161520000010e-01,2.104904144512019570e+01,6.376234810141151454e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,1.103696963161999944e+00,2.364489412645407285e+01,6.005968095230813653e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,1.117018429158999959e+00,2.104904144512019570e+01,5.682999972666366029e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,1.310960399647999930e+00,2.364489412645407285e+01,6.514098433858491743e-01,3.582089552238805763e-01,2.000000000000000000e+02
4.229242874389498752e+01,1.513298605096000005e+00,2.104904144512019570e+01,5.872600542568812143e-01,9.701492537313433084e-01,2.000000000000000000e+02
4.229242874389498752e+01,1.570796326795000031e+00,2.104904144512019570e+01,8.060715644432708826e-01,2.537313432835821003e-01,2.000000000000000000e+02
4.229242874389498752e+01,1.687631551731000101e+00,2.104904144512019570e+01,8.197996327829257801e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,1.737337002562999944e+00,2.104904144512019570e+01,7.855343591963538374e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,1.892154948508000034e+00,2.104904144512019570e+01,8.187658976343025197e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,1.952756727841000073e+00,2.104904144512019570e+01,6.826825940448770780e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,2.052728374217000162e+00,2.104904144512019570e+01,8.082268940361457821e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,2.420014265287000033e+00,2.104904144512019570e+01,7.729757577856424255e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,2.512798025970000015e+00,2.104904144512019570e+01,7.483552350831514932e-01,5.024875621890547706e-01,2.000000000000000000e+02
4.229242874389498752e+01,2.538681563927999818e+00,2.104904144512019570e+01,7.207347859506801901e-01,3.930348258706467535e-01,2.000000000000000000e+02
4.229242874389498752e+01,2.631502027943000144e+00,2.364489412645407285e+01,7.618523703610233788e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.229242874389498752e+01,2.635677408799999899e+00,2.104904144512019570e+01,6.452218008941674743e-01,9.850746268656715987e-01,2.000000000000000000e+02
4.229242874389498752e+01,2.838983169807999918e+00,2.104904144512019570e+01,8.149169226426162815e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,2.912014714116000214e+00,1.873817422860383175e+01,8.076663803618335802e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.229242874389498752e+01,3.020432623406000161e+00,2.364489412645407285e+01,6.739908654436501667e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,0.000000000000000000e+00,2.364489412645407285e+01,6.771961934180893428e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,9.577788161520000010e-01,2.104904144512019570e+01,3.499134772164607110e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.103696963161999944e+00,2.364489412645407285e+01,5.816441529350905304e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.117018429158999959e+00,2.364489412645407285e+01,5.048975305508750511e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.310960399647999930e+00,2.364489412645407285e+01,7.910443032245552120e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.513298605096000005e+00,2.656087782946686815e+01,6.742327253582403035e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.570796326795000031e+00,2.364489412645407285e+01,7.631837658602789176e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.750810162102798273e+01,1.687631551731000101e+00,2.364489412645407285e+01,6.986880919849007832e-01,9.701492537313433084e-01,2.000000000000000000e+02
4.750810162102798273e+01,1.737337002562999944e+00,2.104904144512019570e+01,7.381738241447257654e-01,9.950248756218905699e-01,2.000000000000000000e+02
4.750810162102798273e+01,1.892154948508000034e+00,2.656087782946686815e+01,7.777970708628718643e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,1.952756727841000073e+00,2.364489412645407285e+01,7.371362896182642732e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.052728374217000162e+00,2.364489412645407285e+01,7.014793507558052532e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.420014265287000033e+00,2.364489412645407285e+01,7.900778639710905882e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.512798025970000015e+00,2.364489412645407285e+01,7.407539715187616558e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.538681563927999818e+00,2.364489412645407285e+01,8.194929769350716153e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.631502027943000144e+00,2.364489412645407285e+01,8.266891822040962623e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.635677408799999899e+00,2.364489412645407285e+01,7.718893591107643948e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.838983169807999918e+00,2.364489412645407285e+01,8.677397253803801336e-01,4.975124378109452641e-03,2.000000000000000000e+02
4.750810162102798273e+01,2.912014714116000214e+00,2.656087782946686815e+01,7.457576625813583382e-01,3.830845771144278378e-01,2.000000000000000000e+02
4.750810162102798273e+01,3.020432623406000161e+00,2.656087782946686815e+01,6.526523646042149407e-01,9.303482587064676457e-01,2.000000000000000000e+02
5.336699231206306848e+01,0.000000000000000000e+00,2.656087782946686815e+01,7.955739182038759072e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,9.577788161520000010e-01,2.364489412645407285e+01,4.853927083033045542e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.103696963161999944e+00,3.351602650938841066e+01,5.657938675094302816e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.117018429158999959e+00,3.351602650938841066e+01,4.460026740945661206e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.310960399647999930e+00,2.656087782946686815e+01,5.216206377402557992e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.513298605096000005e+00,3.351602650938841066e+01,7.353170910580248965e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.570796326795000031e+00,2.656087782946686815e+01,7.053732523923472719e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.687631551731000101e+00,2.656087782946686815e+01,7.290248564618104776e-01,1.044776119402985037e-01,2.000000000000000000e+02
