T_months,phi_rad,phi_over_pi,mu95_learned,mu95_ti,mu95_ratio
4.862601580065353346e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.698917086057653042e-02,4.780047823401840229e-02,9.830272122075865981e-01
5.462277217684342077e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.710162949706746954e-02,4.780047823401840229e-02,9.853798798093702516e-01
6.135907273413170060e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.674559110227598235e-02,4.780047823401840229e-02,9.779314523470251652e-01
6.892612104349694846e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.720783012230253539e-02,4.780047823401840229e-02,9.876016279834185507e-01
7.742636826811269657e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.724992626612079666e-02,4.780047823401840229e-02,9.884822916372876245e-01
8.697490026177833897e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.785540324524998473e-02,4.780047823401840229e-02,1.001149047316277629e+00
9.770099572992246522e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.792443192092563781e-02,4.780047823401840229e-02,1.002593147422090381e+00
1.097498765493056680e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.766701017654086103e-02,4.780047823401840229e-02,9.972078091598975957e-01
1.232846739442065882e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.753855539554797949e-02,4.780047823401840229e-02,9.945204975316749296e-01
1.384886371393871741e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.771684355729643306e-02,4.780047823401840229e-02,9.982503380758552813e-01
1.555676143930472335e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.771296626154839654e-02,4.780047823401840229e-02,9.981692239135857569e-01
1.747528400007682876e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.756838579771956177e-02,4.780047823401840229e-02,9.951445582790494626e-01
1.963040650040272340e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.791964293470840630e-02,4.780047823401840229e-02,1.002492960428274404e+00
2.205130739903045651e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.739041121152955810e-02,4.780047823401840229e-02,9.914212778273626681e-01
2.477076355991709079e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.795002224903546079e-02,4.780047823401840229e-02,1.003128504578655766e+00
2.782559402207125913e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.729848524269835569e-02,4.780047823401840229e-02,9.894981596447126604e-01
3.125715849688235267e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.743363171525455391e-02,4.780047823401840229e-02,9.923254634196781998e-01
3.511191734215127326e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.748918051472558050e-02,4.780047823401840229e-02,9.934875605685619115e-01
3.944206059437656222e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.758561293789762697e-02,4.780047823401840229e-02,9.955049550954521154e-01
4.430621457583877600e+03,9.577788161520000010e-01,3.048704659585889098e-01,4.771805636452439159e-02,4.780047823401840229e-02,9.982757103581579861e-01
